channel x_pos y_pos z_pos
1099 8 -100 -1390
1100 -8 -100 -1410
1101 24 -100 -1410
1102 -24 -100 -1430
1103 8 -100 -1430
1104 -8 -100 -1450
1105 24 -100 -1450
1106 -24 -100 -1470
1107 8 -100 -1470
1108 -8 -100 -1490
1109 24 -100 -1490
1110 -24 -100 -1510
1111 8 -100 -1510
1112 -8 -100 -1530
1113 24 -100 -1530
1114 -24 -100 -1550
1115 8 -100 -1550
1116 -8 -100 -1570
1117 24 -100 -1570
1118 -24 -100 -1590
1119 8 -100 -1590
1120 -8 -100 -1610
1121 24 -100 -1610
1122 -24 -100 -1630
1123 8 -100 -1630
1124 -8 -100 -1650
1125 24 -100 -1650
1126 -24 -100 -1670
1127 8 -100 -1670
1128 -8 -100 -1690
1129 24 -100 -1690
1130 -24 -100 -1710
1131 8 -100 -1710
1132 -8 -100 -1730
1133 24 -100 -1730
1134 -24 -100 -1750
1135 8 -100 -1750
1136 -8 -100 -1770
1137 24 -100 -1770
1138 -24 -100 -1790
1139 8 -100 -1790
1140 -8 -100 -1810
1141 24 -100 -1810
1142 -24 -100 -1830
1143 8 -100 -1830
1144 -8 -100 -1850
1145 24 -100 -1850
1146 -24 -100 -1870
1147 8 -100 -1870
1148 -8 -100 -1890
1149 24 -100 -1890
1150 -24 -100 -1910
1151 8 -100 -1910
